Building SF,Year Built,Building Tax Expenses,Coverage,Improvement Ratio,Distance_to_Nearest_Port,Latitude,Longitude,distance_public_transport,distance_to_highway,distance_to_nearest_airport,distance_to_nearest_rail,distance_to_nearest_dc,distance_to_residential,Market Asking Rent Growth,Vacancy Rate,Sales Volume Transactions,Market Cap Rate,Under Construction SF,Net Absorption SF,Population,Industrial Employment,Under Construction SF Growth,Population Growth,Industrial Employment Growth,Secondary Type,Building Class,Sale Quarter,Sale Price
13765,2007.0,,0.438892963045627,66.41,47.392600265850845,34.0753261,-117.4861085,1.5422996025217222,0.6773020994909462,6.734715079983139,7.905664205367064,3.1533285543975773,0.13846380621071,0.021,0.042,121.0,0.049,22027266.0,8104857.0,4593484.0,213701.0,-0.0004605282760264584,1.6024386547714987e-05,4.446428991093043e-05,Warehouse,B,2020Q1,2050000.0
5626,1979.0,22222.7,0.35875526080857,83.14,21.891606237511983,33.701581,-117.840786,0.1155016479553684,0.8004418781625608,2.329968258754416,22.6866562901257,27.215483450545825,0.5040547797551935,0.016,0.031,103.0,0.051,1024564.0,611536.0,3187916.0,266602.0,0.0013596968275773368,-7.590589926853575e-07,2.391283096335517e-05,,B,2020Q1,1900000.0
2160,1971.0,6048.0,0.275475066955745,40.47,94.50369687917618,39.12798,-123.20477,0.2831730820886182,0.6035502383964357,91.96039018622406,94.02417522619334,99.65200144603884,0.0827555097277698,,,,,,,,,,,,Warehouse,C,2020Q1,375000.0
23478,1966.0,119268.24,0.489982469321312,69.94,20.05785145162805,33.677348,-117.879906,0.1720206561438049,0.0885566596747233,0.7192207372025584,22.27085553084721,29.68073513931306,0.1582402610516407,0.016,0.031,103.0,0.051,1024564.0,611536.0,3187916.0,266602.0,0.0013596968275773368,-7.590589926853575e-07,2.391283096335517e-05,Showroom,B,2020Q1,9596500.0
18000,1953.0,34380.0,0.275482093663912,53.91,70.84200989895716,34.2957,-119.299177,0.2360841883294354,0.2947474385687947,54.32219192799123,64.1661495702048,51.46436114116625,0.0595996947335335,0.012,0.045,39.0,0.06,276210.0,-399348.0,844613.0,45224.0,-0.00017780306532484637,-6.968748299223115e-06,-9.278487164758874e-06,Warehouse,C,2020Q1,2900000.0
4000,1947.0,27480.0,0.197054042071038,7.85,34.67421102379242,37.365991,-121.951996,0.412822583550353,0.6445507032172437,1.2794443857931042,35.506562926634324,17.042083565140214,0.3697648373332042,0.01,0.061,55.0,0.054000000000000006,1897396.0,-95187.0,2003622.0,223992.0,0.005830577257451417,-1.3561988154567884e-05,1.0591942079507533e-05,Service,C,2020Q1,2200000.0
8720,1976.0,28514.4,0.465538412257755,49.49,16.030770032303135,33.971423,-118.118341,0.3535192444940856,0.3473071863908358,10.765067237747086,3.7213397882057535,7.409525017665357,0.1053172099041228,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Manufacturing,B,2020Q1,2020000.0
13647,1998.0,19515.21,0.228681066407494,71.92,63.90373120969309,38.4811556,-121.3970364,0.4750913577808064,1.3918189468953155,18.124988857081185,37.70975603508628,8.707971998393457,0.3099878380618091,0.017,0.051,73.0,0.071,3636044.0,-457648.0,2394236.0,112215.0,0.0016328988218793116,1.5305928234061738e-05,0.00026735472537124937,Distribution,B,2020Q1,1687500.0
11040,1972.0,20424.0,0.844811753902663,90.17,75.14499831829102,38.673829,-121.329697,0.1036201561909751,0.6700221773872662,14.190142496520902,50.54810224809929,10.949470714500762,0.4677670686205656,0.017,0.051,73.0,0.071,3636044.0,-457648.0,2394236.0,112215.0,0.0016328988218793116,1.5305928234061738e-05,0.00026735472537124937,Warehouse,C,2020Q1,1135661.0
5000,1972.0,20400.0,0.382614018977655,90.17,75.16280545279139,38.674053,-121.329512,0.1184441420384829,0.6681540166063858,14.198448860030924,50.563027679337694,10.966585785288602,0.4532209865155218,0.017,0.051,73.0,0.071,3636044.0,-457648.0,2394236.0,112215.0,0.0016328988218793116,1.5305928234061738e-05,0.00026735472537124937,Warehouse,C,2020Q1,514339.0
